,cid,canonical_smiles,molecular_weight,xlogp
146,2723790,C(=S)(N)N,76.12,-0.8
147,6119,CC(C)(C(=O)O)N,103.12,-2.8
148,6125,C(=O)(C(=O)[O-])[O-].[Na+].[Na+],134,
149,6131,C1=CN(C(=O)N=C1N)C2C(C(C(O2)COP(=O)(O)O)O)O,323.2,-3.4
150,6134,C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O,342.3,-4.7
151,6137,CSCCC(C(=O)O)N,149.21,-1.9
152,5333,C1=CC(=CC=C1N)S(=O)(=O)N,172.21,-0.6
153,2230,CN1CCC=C(C1)C(=O)OC,155.19,0.3
154,6140,C1=CC=C(C=C1)CC(C(=O)O)N,165.19,-1.5
155,6144,C(CN(CC(=O)[O-])CC(=O)[O-])N(CC(=O)[O-])CC(=O)[O-].[Na+].[Na+].[Na+].[Na+],380.17,
156,1001,C1=CC=C(C=C1)CCN,121.18,1.4
157,702,CCO,46.07,-0.1
158,284,C(=O)O,46.025,-0.2
159,176,CC(=O)O,60.05,-0.2
160,54686764,CN(C)C1C2CC3C(C4=C(C=CC(=C4C(=C3C(=O)C2(C(=C(C1=O)C(=O)N)O)O)O)O)Cl)O.Cl,501.3,
161,6166,CC12CCC3C(C1CCC2C(=O)CO)CCC4=CC(=O)CCC34C,330.5,2.9
162,6167,CC(=O)NC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC,399.4,1
163,6169,COC(=O)C1C(CCC2C1CC3C4=C(CCN3C2)C5=CC=CC=C5N4)O.Cl,390.9,
164,1054,CC1=NC=C(C(=C1O)CO)CO,169.18,-0.8
165,5147,C1=CC=C(C(=C1)C(=O)N)O,137.14,1.3
166,6175,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O,243.22,-2.1
167,1135,CC1=CNC(=O)NC1=O,126.11,-0.6
168,6180,CC(=O)NC(CCSC)C(=O)O,191.25,0.1
169,243,C1=CC=C(C=C1)C(=O)O,122.12,1.9
170,967,C1=C(NC(=O)NC1=O)C(=O)O,156.1,-1.4
171,1174,C1=CNC(=O)NC1=O,112.09,-1.1
172,65551,CC(=O)OCC[N+](C)(C)C.[Br-],226.11,
173,6184,CCCCCC=O,100.16,1.8
174,54676038,C1=CC=C2C(=C1)C(=C(C(=O)O2)CC3=C(C4=CC=CC=C4OC3=O)O)O,336.3,2.6
175,6195,C1=CC=C2C(=C1)C=CC=C2C=O,156.18,3.1
176,91431,C(C(C(C(C(C=O)N)O)O)O)O.Cl,215.63,
177,6199,C1=CC(=O)OC2=CC3=C(C=CO3)C=C21,186.16,2.3
178,6202,CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO.Cl.[Cl-],337.3,
179,3053,C(CN(CC(=O)O)CC(=O)O)N(CCN(CC(=O)O)CC(=O)O)CC(=O)O,393.35,-8.5
180,237332,C1=C(OC(=C1)C=O)CO,126.11,-0.6
181,6209,C[N+](C)(C)CCO.[Cl-],139.62,
182,6210,CC1=CC(=NN1)C,96.13,1
183,887,CO,32.042,-0.5
184,3776,CC(C)O,60.1,0.3
185,180,CC(=O)C,58.08,-0.1
186,6212,C(Cl)(Cl)Cl,119.37,2.3
187,679,CS(=O)C,78.14,-0.6
188,6213,CS(=O)(=O)C,94.14,-0.4
189,5280795,CC(C)CCCC(C)C1CCC2C1(CCCC2=CC=C3CC(CCC3=C)O)C,384.6,7.9
190,6224,C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.[Na+].[Na+].[Na+],258.07,
191,1133,C(C(=O)O)S,92.12,0.1
192,6228,CN(C)C=O,73.09,-1
193,24847895,CC1=CC2=C(C=C1C)N(C=N2)C3C(C(C(O3)CO)OP(=O)([O-])OC(C)CNC(=O)CCC4(C(C5=NC4=C(C6=NC(=CC7=NC(=C(C8=NC5(C(C8CCC(=O)N)(C)CC(=O)N)C)C)C(C7CCC(=O)N)(C)CC(=O)N)C(C6CCC(=O)N)(C)C)C)CC(=O)N)C)O.[C-]#N.[Co],1354.4,
194,445354,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CCO)C)C,286.5,5.7
195,401,C1C(C(=O)NO1)N,102.09,-1.5
196,790,C1=NC2=C(N1)C(=O)N=CN2,136.11,-1.1
197,66141,CC(=O)N1CCCC1C(=O)O,157.17,-0.7
198,6241,CN1C=NC2=C1C(=O)N(C(=O)N2C)C.C(C(=O)O)C(CC(=O)O)(C(=O)O)O,386.31,
